_id,url,word_count,section,date,type,headline,abstract
nyt://article/b9cae280-2317-586c-b602-f42751022793,https://dealbook.nytimes.com/2010/01/26/alcon-shareholders-push-novartis-on-bid/,101,Business Day,2010-01-26T10:23:06+0000,Business,Alcon Shareholders Push Novartis on Bid,"Novartis’s bid to buy out minority shareholders in Alcon does not fairly value their holdings, one of the largest investors in the eyecare group said."
nyt://article/267d5cb0-472f-5305-b83e-e3ce38d3abb7,https://dealbook.nytimes.com/2010/03/16/renault-and-daimler-said-to-discuss-share-swap/,332,Business Day,2010-03-16T10:53:26+0000,Business,Renault and Daimler Said to Discuss Share Swap,"Renault and Daimler, the two European carmakers long in talks to collaborate more extensively, may be considering going as far as a share swap, though the discussions are said to be stalled because of a disagreement over valuations."
nyt://article/73efda9e-1a4c-57ed-ae29-df2f0c0aa66f,https://economix.blogs.nytimes.com/2010/01/12/more-bad-job-news/,66,Business Day,2010-01-12T18:34:22+0000,Business,More Bad Job Market News,"For every job opening in November, there were 6.35 people out of work, a record high."
nyt://article/5c3fc78c-c26a-5afe-80f1-e63af5aac6b8,https://bits.blogs.nytimes.com/2010/03/31/kleiner-perkins-pledges-money-for-ipad-developers/,421,Technology,2010-03-31T19:13:04+0000,Business,Kleiner Perkins Pledges Money for iPad Developers,Kleiner Perkins Caufield & Byers is doubling its iFund to $200 million to invest in iPhone and iPad app developers.
nyt://article/5846c1ab-5bfe-58be-b856-a1f61ba0b621,https://dealbook.nytimes.com/2010/03/25/canadian-banking-is-not-the-answer/,118,Business Day,2010-03-25T19:51:41+0000,Business,Canadian Banking Is Not the Answer,From Economix: Canada’s concentrated megabanking system is often held up as a model for why Americans shouldn’t worry about their own large banks. Two economists explain why this thinking is wrong.
nyt://article/9b9f7b3e-0ff0-542d-bbff-9a762f17ffdc,https://economix.blogs.nytimes.com/2010/03/03/why-old-people-should-love-immigrants/,327,Business Day,2010-03-03T20:38:45+0000,Business,Why Old People Should Love Immigrants,"Immigrants may or may not compete with Americans for jobs, but they do help keep the Social Security system solvent."
nyt://article/706f989f-a9fe-594c-8649-a444c574258a,https://green.blogs.nytimes.com/2010/01/07/qa-googles-green-energy-czar/,2577,Business Day,2010-01-07T13:32:04+0000,,Q&A: Google’s Green Energy Czar,"“As a society, we have chosen to invest too little in alternative energy,” said Bill Weihl, who steers Google’s clean energy endeavors."
nyt://article/b5fbe7f3-5aa7-5c9d-b36e-23e0cfa5739b,https://mediadecoder.blogs.nytimes.com/2010/02/09/and-the-recaps-of-the-super-bowl-spots-just-keep-on-coming/,1025,Business Day,2010-02-09T21:46:25+0000,Media,And the Recaps of the Super Bowl Spots Just Keep on Coming,"The Nielsen Company said that the most-watched spot in Super Bowl XLIV was one in the fourth quarter for Doritos, the snack chips sold by the Frito-Lay division of PepsiCo, called “Samurai Snack Attack.”"
nyt://article/eeca463a-a6ed-518a-9144-2a62abf7cf1e,https://dealbook.nytimes.com/2010/03/01/2-former-pali-capital-analysts-join-btig/,225,Business Day,2010-03-01T22:06:40+0000,Business,2 Former Pali Capital Analysts Join BTIG,"BTIG, a New York-based broker-dealer, said Monday that it was expanding its reach into equity research, hiring two senior analysts, Richard Greenfield and Walter Piecyk, who previously worked at the now-closed Pali Capital to lead the effort."
nyt://article/c5cf1efa-f82a-516a-9785-670fdb902dde,https://dealbook.nytimes.com/2010/01/25/aig-imposes-limits-on-corporate-aircraft/,154,Business Day,2010-01-25T13:03:52+0000,Business,A.I.G. Imposes Limits on Corporate Aircraft,"For most of A.I.G.’s executives, flying on corporate aircraft is now a no-go, and even for its chief executive, riding on the firm’s dime has its limits."
nyt://article/de871b46-fe8f-57f0-9411-6adbec5f6443,https://dealbook.nytimes.com/2010/03/05/colonial-to-sell-up-to-50-million-of-stock/,110,Business Day,2010-03-05T08:30:04+0000,Business,Colonial to Sell Up to $50 Million of Stock,"Colonial Properties Trust said Thursday that it filed paperwork that will allow it to sell up to $50 million worth of its common shares through an ”at-the-market” offering, in which a broker executes a sale at the best price currently available, The Associated Press reported."
